country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
Bahrain,BHR,12/27/2020,53614,53614,,2058,3662,3.15,3.15,,2152,"Pfizer/BioNTech, Sinopharm/Beijing"
Cayman Islands,CYM,12/27/2020,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,12/27/2020,8650,8650,,311,2743,0.05,0.05,,143,"Pfizer/BioNTech, Sinovac"
China,CHN,12/27/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/27/2020,,,,,240,,,,47,Pfizer/BioNTech
Czechia,CZE,12/27/2020,1258,1258,,,,0.01,0.01,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,12/27/2020,6492,6492,,,,0.11,0.11,,,"Moderna, Pfizer/BioNTech"
England,,12/27/2020,841205,841205,,,38192,1.49,1.49,,679,"Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,12/27/2020,13,13,,,,0,0,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,12/27/2020,23429,23429,,,,0.03,0.03,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,ISR,12/27/2020,388508,388508,,104588,54444,4.49,4.49,,6290,"Moderna, Pfizer/BioNTech"
Italy,ITA,12/27/2020,7013,7013,,,,0.01,0.01,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,12/27/2020,2418,2418,,,,0.09,0.09,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,12/27/2020,6824,6824,,,1300,0.01,0.01,,10,Pfizer/BioNTech
Northern Ireland,,12/27/2020,31016,31016,,,2135,1.64,1.64,,1127,"Oxford/AstraZeneca, Pfizer/BioNTech"
Norway,NOR,12/27/2020,5,5,,,,0,0,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Qatar,QAT,12/27/2020,,,,,1351,,,,469,Pfizer/BioNTech
Russia,RUS,12/27/2020,,,,,49531,,,,339,Sputnik V
Scotland,,12/27/2020,94510,94510,,,4915,1.73,1.73,,900,"Oxford/AstraZeneca, Pfizer/BioNTech"
Slovenia,SVN,12/27/2020,5819,5819,,,,0.28,0.28,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Sweden,SWE,12/27/2020,1885,1885,,,,0.02,0.02,,,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,12/27/2020,,,,,3000,,,,347,"Moderna, Pfizer/BioNTech"
United Kingdom,GBR,12/27/2020,1002930,1002930,,,47019,1.48,1.48,,693,"Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,12/27/2020,,,,,211379,,,,632,"Moderna, Pfizer/BioNTech"
Wales,,12/27/2020,36199,36199,,,1776,1.15,1.15,,563,"Oxford/AstraZeneca, Pfizer/BioNTech"
Bahrain,BHR,12/28/2020,55014,55014,,1400,3210,3.23,3.23,,1886,"Pfizer/BioNTech, Sinopharm/Beijing"
Belgium,BEL,12/28/2020,297,297,,,,0,0,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,CYM,12/28/2020,,,,,275,,,,4184,Pfizer/BioNTech
Chile,CHL,12/28/2020,8650,8650,,0,2058,0.05,0.05,,108,"Pfizer/BioNTech, Sinovac"
China,CHN,12/28/2020,,,,,187500,,,,130,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Costa Rica,CRI,12/28/2020,,,,,240,,,,47,Pfizer/BioNTech
Czechia,CZE,12/28/2020,3541,3541,,2283,2283,0.03,0.03,,213,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Denmark,DNK,12/28/2020,8479,8479,,1987,1987,0.15,0.15,,343,"Moderna, Pfizer/BioNTech"
England,,12/28/2020,,,,,39870,,,,708,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,EST,12/28/2020,207,,,,,0.02,,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,FRA,12/28/2020,52,52,,39,39,0,0,,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Germany,DEU,12/28/2020,42071,42071,,18642,18642,0.05,0.05,,223,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Greece,GRC,12/28/2020,447,447,,,,0,0,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,HUN,12/28/2020,1094,,,,,0.01,,,,Pfizer/BioNTech
Israel,ISR,12/28/2020,523430,523430,,134922,70168,6.05,6.05,,8107,"Moderna, Pfizer/BioNTech"
Italy,ITA,12/28/2020,7985,7985,,972,972,0.01,0.01,,16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Kuwait,KWT,12/28/2020,2500,,,,,0.06,,,,Pfizer/BioNTech
Latvia,LVA,12/28/2020,,594,,,,,0.03,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Lithuania,LTU,12/28/2020,5203,5203,,2785,2785,0.19,0.19,,1023,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Mexico,MEX,12/28/2020,9579,9579,,2755,1664,0.01,0.01,,13,Pfizer/BioNTech
Northern Ireland,,12/28/2020,,,,,2054,,,,1085,"Oxford/AstraZeneca, Pfizer/BioNTech"
